,CID,tsne_1,tsne_2,link,image
4020,92255287,-21.415926,-14.473354,https://pubchem.ncbi.nlm.nih.gov/compound/92255287,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/92255287.png
4021,82475615,48.48629,11.134366,https://pubchem.ncbi.nlm.nih.gov/compound/82475615,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/82475615.png
4022,38988517,72.85029,3.0865862,https://pubchem.ncbi.nlm.nih.gov/compound/38988517,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/38988517.png
4023,13027844,11.360285,46.23076,https://pubchem.ncbi.nlm.nih.gov/compound/13027844,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/13027844.png
4024,134402580,-11.333157,-39.134113,https://pubchem.ncbi.nlm.nih.gov/compound/134402580,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/134402580.png
4025,89776358,-37.711704,41.327507,https://pubchem.ncbi.nlm.nih.gov/compound/89776358,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/89776358.png
4026,159669645,-34.280514,-40.866264,https://pubchem.ncbi.nlm.nih.gov/compound/159669645,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/159669645.png
4027,123331896,26.453392,48.363438,https://pubchem.ncbi.nlm.nih.gov/compound/123331896,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/123331896.png
4028,71527655,48.072838,-9.501365,https://pubchem.ncbi.nlm.nih.gov/compound/71527655,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/71527655.png
4029,152572758,-35.39016,-8.181343,https://pubchem.ncbi.nlm.nih.gov/compound/152572758,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/152572758.png
4030,153959411,25.468668,47.69076,https://pubchem.ncbi.nlm.nih.gov/compound/153959411,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/153959411.png
4031,85851270,-61.418797,-7.539906,https://pubchem.ncbi.nlm.nih.gov/compound/85851270,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/85851270.png
4032,135514797,74.39047,19.619596,https://pubchem.ncbi.nlm.nih.gov/compound/135514797,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/upconverting_synthesizeable/135514797.png
