,cid,CanonicalSMILES,overall_score,tsne_1,tsne_2,image,link
16317,16317,C1=CC=C2C(=C1)C=CC3=C2C(=O)C(=O)C4=CC=CC=C34,0.3869789153280142,54.177563,17.677954,https://upconverting.blob.core.windows.net/redox-components/16317.png,https://pubchem.ncbi.nlm.nih.gov/compound/16317
3099034,3099034,C1=CC(=CN=C1)CNC(=O)NCCCCCCNC(=O)NCC2=CN=CC=C2,0.38840937029481726,-58.8806,-4.3382897,https://upconverting.blob.core.windows.net/redox-components/3099034.png,https://pubchem.ncbi.nlm.nih.gov/compound/3099034
6763,6763,C1=CC=C2C(=C1)C3=CC=CC=C3C(=O)C2=O,0.3896612075874617,49.136433,20.692097,https://upconverting.blob.core.windows.net/redox-components/6763.png,https://pubchem.ncbi.nlm.nih.gov/compound/6763
67010,67010,C1=CC=C2C(=C1)C3=C4C(=C(C=C3)C5=C6C=CC=C7C6=C(C=C5)C8=CC=CC=C8C7=O)C=CC=C4C2=O,0.3903058181709207,52.12061,19.111242,https://upconverting.blob.core.windows.net/redox-components/67010.png,https://pubchem.ncbi.nlm.nih.gov/compound/67010
6709,6709,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)Cl,0.39172872166807343,46.08619,23.450987,https://upconverting.blob.core.windows.net/redox-components/6709.png,https://pubchem.ncbi.nlm.nih.gov/compound/6709
14338,14338,CC1=CC(=NC=C1)C2=NC=CC(=C2)C,0.3919934916883192,-17.331955,-22.727358,https://upconverting.blob.core.windows.net/redox-components/14338.png,https://pubchem.ncbi.nlm.nih.gov/compound/14338
344452,344452,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)CBr,0.3921365600620571,52.415382,26.729954,https://upconverting.blob.core.windows.net/redox-components/344452.png,https://pubchem.ncbi.nlm.nih.gov/compound/344452
96081,96081,C1=CC=C(C=C1)SC2=CC=C(C=C2)N,0.3924292754394146,1.9904051,18.710884,https://upconverting.blob.core.windows.net/redox-components/96081.png,https://pubchem.ncbi.nlm.nih.gov/compound/96081
625072,625072,C1=CC=C2C(=C1)C=CC=C2C=C3C(=O)C4=CC=CC=C4C3=O,0.3925874467524532,55.153065,17.696405,https://upconverting.blob.core.windows.net/redox-components/625072.png,https://pubchem.ncbi.nlm.nih.gov/compound/625072
5369804,5369804,C1=CC=C(C=C1)C=CCCC(=O)C2=CC=CC=C2,0.39265352949100174,52.391785,-9.808131,https://upconverting.blob.core.windows.net/redox-components/5369804.png,https://pubchem.ncbi.nlm.nih.gov/compound/5369804
571193,571193,C1=CC=C(C=C1)C=CCCC(=O)C2=CC=CC=C2,0.39265352949100174,52.391785,-9.808131,https://upconverting.blob.core.windows.net/redox-components/571193.png,https://pubchem.ncbi.nlm.nih.gov/compound/571193
