,CID,tsne_1,tsne_2,link,image
0,11287,22.66041,-24.259947,https://pubchem.ncbi.nlm.nih.gov/compound/11287,https://upconverting.z5.web.core.windows.net/11287.png
1,6835,-0.1533253,31.817074,https://pubchem.ncbi.nlm.nih.gov/compound/6835,https://upconverting.z5.web.core.windows.net/6835.png
2,3033452,23.437288,-1.5902761,https://pubchem.ncbi.nlm.nih.gov/compound/3033452,https://upconverting.z5.web.core.windows.net/3033452.png
3,6089,31.552315,-55.949635,https://pubchem.ncbi.nlm.nih.gov/compound/6089,https://upconverting.z5.web.core.windows.net/6089.png
4,109127,-6.4467998,-41.479187,https://pubchem.ncbi.nlm.nih.gov/compound/109127,https://upconverting.z5.web.core.windows.net/109127.png
5,5332173,-6.0744386,-2.3417053,https://pubchem.ncbi.nlm.nih.gov/compound/5332173,https://upconverting.z5.web.core.windows.net/5332173.png
6,7072,-6.9910316,5.6752167,https://pubchem.ncbi.nlm.nih.gov/compound/7072,https://upconverting.z5.web.core.windows.net/7072.png
7,87800,33.33203,-13.718941,https://pubchem.ncbi.nlm.nih.gov/compound/87800,https://upconverting.z5.web.core.windows.net/87800.png
8,81021,33.960537,-0.047118086,https://pubchem.ncbi.nlm.nih.gov/compound/81021,https://upconverting.z5.web.core.windows.net/81021.png
9,1519341,-24.279486,-35.602547,https://pubchem.ncbi.nlm.nih.gov/compound/1519341,https://upconverting.z5.web.core.windows.net/1519341.png
10,6435060,23.437288,-1.5902761,https://pubchem.ncbi.nlm.nih.gov/compound/6435060,https://upconverting.z5.web.core.windows.net/6435060.png
11,11328,23.69654,-22.287384,https://pubchem.ncbi.nlm.nih.gov/compound/11328,https://upconverting.z5.web.core.windows.net/11328.png
12,3637,27.079897,-30.249928,https://pubchem.ncbi.nlm.nih.gov/compound/3637,https://upconverting.z5.web.core.windows.net/3637.png
13,7130,6.7097936,-30.361504,https://pubchem.ncbi.nlm.nih.gov/compound/7130,https://upconverting.z5.web.core.windows.net/7130.png
14,11217668,19.265572,60.737633,https://pubchem.ncbi.nlm.nih.gov/compound/11217668,https://upconverting.z5.web.core.windows.net/11217668.png
15,70039,-3.4048457,-30.823524,https://pubchem.ncbi.nlm.nih.gov/compound/70039,https://upconverting.z5.web.core.windows.net/70039.png
16,6796,-14.97335,-48.9676,https://pubchem.ncbi.nlm.nih.gov/compound/6796,https://upconverting.z5.web.core.windows.net/6796.png
17,9198,30.78237,-25.555737,https://pubchem.ncbi.nlm.nih.gov/compound/9198,https://upconverting.z5.web.core.windows.net/9198.png
18,57415857,-26.600178,-31.666613,https://pubchem.ncbi.nlm.nih.gov/compound/57415857,https://upconverting.z5.web.core.windows.net/57415857.png
19,11396,-5.468428,0.41124332,https://pubchem.ncbi.nlm.nih.gov/compound/11396,https://upconverting.z5.web.core.windows.net/11396.png
20,8446,-6.7274365,-23.142874,https://pubchem.ncbi.nlm.nih.gov/compound/8446,https://upconverting.z5.web.core.windows.net/8446.png
21,67278,14.7967,5.8595095,https://pubchem.ncbi.nlm.nih.gov/compound/67278,https://upconverting.z5.web.core.windows.net/67278.png
22,9147,30.415075,-34.272945,https://pubchem.ncbi.nlm.nih.gov/compound/9147,https://upconverting.z5.web.core.windows.net/9147.png
23,23539,14.970445,-68.81212,https://pubchem.ncbi.nlm.nih.gov/compound/23539,https://upconverting.z5.web.core.windows.net/23539.png
24,11884,24.067148,-22.825172,https://pubchem.ncbi.nlm.nih.gov/compound/11884,https://upconverting.z5.web.core.windows.net/11884.png
25,68063,24.64607,-8.058162,https://pubchem.ncbi.nlm.nih.gov/compound/68063,https://upconverting.z5.web.core.windows.net/68063.png
26,44144902,-3.9697905,24.737394,https://pubchem.ncbi.nlm.nih.gov/compound/44144902,https://upconverting.z5.web.core.windows.net/44144902.png
27,2795446,-5.3427396,-12.365325,https://pubchem.ncbi.nlm.nih.gov/compound/2795446,https://upconverting.z5.web.core.windows.net/2795446.png
28,11775,21.44579,7.698094,https://pubchem.ncbi.nlm.nih.gov/compound/11775,https://upconverting.z5.web.core.windows.net/11775.png
29,3511501,21.29103,38.8225,https://pubchem.ncbi.nlm.nih.gov/compound/3511501,https://upconverting.z5.web.core.windows.net/3511501.png
30,60209169,-3.255898,-13.583734,https://pubchem.ncbi.nlm.nih.gov/compound/60209169,https://upconverting.z5.web.core.windows.net/60209169.png
31,45116893,13.695284,-11.800287,https://pubchem.ncbi.nlm.nih.gov/compound/45116893,https://upconverting.z5.web.core.windows.net/45116893.png
32,21980090,3.143807,-10.78032,https://pubchem.ncbi.nlm.nih.gov/compound/21980090,https://upconverting.z5.web.core.windows.net/21980090.png
33,16906,29.566671,-49.85341,https://pubchem.ncbi.nlm.nih.gov/compound/16906,https://upconverting.z5.web.core.windows.net/16906.png
34,52307,9.769476,10.359382,https://pubchem.ncbi.nlm.nih.gov/compound/52307,https://upconverting.z5.web.core.windows.net/52307.png
35,71310908,-33.218414,-1.0049852,https://pubchem.ncbi.nlm.nih.gov/compound/71310908,https://upconverting.z5.web.core.windows.net/71310908.png
36,2795182,-2.1287057,-14.1820965,https://pubchem.ncbi.nlm.nih.gov/compound/2795182,https://upconverting.z5.web.core.windows.net/2795182.png
37,5281717,45.11064,24.309313,https://pubchem.ncbi.nlm.nih.gov/compound/5281717,https://upconverting.z5.web.core.windows.net/5281717.png
38,10868906,28.224749,-50.592106,https://pubchem.ncbi.nlm.nih.gov/compound/10868906,https://upconverting.z5.web.core.windows.net/10868906.png
39,2795179,-2.8509612,-13.79616,https://pubchem.ncbi.nlm.nih.gov/compound/2795179,https://upconverting.z5.web.core.windows.net/2795179.png
40,248751,-19.960327,-21.044529,https://pubchem.ncbi.nlm.nih.gov/compound/248751,https://upconverting.z5.web.core.windows.net/248751.png
41,266109,-2.248894,0.43173468,https://pubchem.ncbi.nlm.nih.gov/compound/266109,https://upconverting.z5.web.core.windows.net/266109.png
42,2762885,-21.38662,37.698105,https://pubchem.ncbi.nlm.nih.gov/compound/2762885,https://upconverting.z5.web.core.windows.net/2762885.png
43,606965,-2.8357556,0.39072767,https://pubchem.ncbi.nlm.nih.gov/compound/606965,https://upconverting.z5.web.core.windows.net/606965.png
44,350072,-27.961742,17.4517,https://pubchem.ncbi.nlm.nih.gov/compound/350072,https://upconverting.z5.web.core.windows.net/350072.png
45,14686885,10.454613,9.324964,https://pubchem.ncbi.nlm.nih.gov/compound/14686885,https://upconverting.z5.web.core.windows.net/14686885.png
46,14671163,47.236496,42.267227,https://pubchem.ncbi.nlm.nih.gov/compound/14671163,https://upconverting.z5.web.core.windows.net/14671163.png
47,13586792,-8.413266,12.141672,https://pubchem.ncbi.nlm.nih.gov/compound/13586792,https://upconverting.z5.web.core.windows.net/13586792.png
48,13583147,18.266918,41.976112,https://pubchem.ncbi.nlm.nih.gov/compound/13583147,https://upconverting.z5.web.core.windows.net/13583147.png
49,13357841,-3.6771529,4.7709002,https://pubchem.ncbi.nlm.nih.gov/compound/13357841,https://upconverting.z5.web.core.windows.net/13357841.png
50,13087229,22.442406,23.601734,https://pubchem.ncbi.nlm.nih.gov/compound/13087229,https://upconverting.z5.web.core.windows.net/13087229.png
51,12984537,-4.313214,54.180878,https://pubchem.ncbi.nlm.nih.gov/compound/12984537,https://upconverting.z5.web.core.windows.net/12984537.png
52,14958605,25.702868,20.44224,https://pubchem.ncbi.nlm.nih.gov/compound/14958605,https://upconverting.z5.web.core.windows.net/14958605.png
53,12969385,37.38424,-33.272953,https://pubchem.ncbi.nlm.nih.gov/compound/12969385,https://upconverting.z5.web.core.windows.net/12969385.png
54,613762,-1.2701843,58.716797,https://pubchem.ncbi.nlm.nih.gov/compound/613762,https://upconverting.z5.web.core.windows.net/613762.png
55,12703698,-12.782555,13.459787,https://pubchem.ncbi.nlm.nih.gov/compound/12703698,https://upconverting.z5.web.core.windows.net/12703698.png
56,12450582,-41.036007,22.067787,https://pubchem.ncbi.nlm.nih.gov/compound/12450582,https://upconverting.z5.web.core.windows.net/12450582.png
57,12383342,27.022402,20.539206,https://pubchem.ncbi.nlm.nih.gov/compound/12383342,https://upconverting.z5.web.core.windows.net/12383342.png
58,12339399,16.303493,32.554382,https://pubchem.ncbi.nlm.nih.gov/compound/12339399,https://upconverting.z5.web.core.windows.net/12339399.png
59,614511,25.890953,19.549297,https://pubchem.ncbi.nlm.nih.gov/compound/614511,https://upconverting.z5.web.core.windows.net/614511.png
60,67459,29.475666,-45.886856,https://pubchem.ncbi.nlm.nih.gov/compound/67459,https://upconverting.z5.web.core.windows.net/67459.png
61,615276,24.25366,27.222918,https://pubchem.ncbi.nlm.nih.gov/compound/615276,https://upconverting.z5.web.core.windows.net/615276.png
62,12117342,25.631285,-50.890747,https://pubchem.ncbi.nlm.nih.gov/compound/12117342,https://upconverting.z5.web.core.windows.net/12117342.png
