,CID,smiles,tsne_1,tsne_2,image,link
10,138412959,CCOC(=O)C1=CC=C(C=C1)N(CCC2=CC=CC=C2)CC3=CC(=CC=C3)F,42.502274,-63.46999,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138412959.png,https://pubchem.ncbi.nlm.nih.gov/compound/138412959
11,138412972,CCCC1=CC=C(C=C1)N(CC2=CC(=CC=C2)F)C3=CC=C(C=C3)C(=O)OCC,41.963135,-64.04051,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138412972.png,https://pubchem.ncbi.nlm.nih.gov/compound/138412972
12,138412985,CCN(CC1=CC(=CC=C1)F)C2=CC=C(C=C2)C(=O)OCC,42.48009,-63.454,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138412985.png,https://pubchem.ncbi.nlm.nih.gov/compound/138412985
13,138412991,CCCCN(CC1=CC(=CC=C1)F)C2=CC=C(C=C2)C(=O)OCC,40.226566,-65.70646,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138412991.png,https://pubchem.ncbi.nlm.nih.gov/compound/138412991
14,138412998,CCOC(=O)C1=CC=C(C=C1)N(CC2=CC(=CC=C2)F)CC(C)C,42.460915,-63.61335,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138412998.png,https://pubchem.ncbi.nlm.nih.gov/compound/138412998
15,54527072,CC1=CC=CC=C1N(C)C(=O)C2=CC=CC=C2,-0.89893,-33.19378,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/54527072.png,https://pubchem.ncbi.nlm.nih.gov/compound/54527072
16,165676210,CC(C)(C)OC(=O)NC1=CC(=C(C=C1)F)CCN=C=O,81.18182,-28.88168,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/165676210.png,https://pubchem.ncbi.nlm.nih.gov/compound/165676210
17,13632707,CC(C)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)C(=O)O,18.42513,-60.382233,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/13632707.png,https://pubchem.ncbi.nlm.nih.gov/compound/13632707
18,6292681,CC1(C2=C(C=CC(=C2)S(=O)(=O)O)[N+](=C1C=CC=C3C(C4=C(N3CCCCCC(=O)ON5C(=O)CCC5=O)C=CC(=C4)S(=O)(=O)O)(C)C)CCCCCC(=O)O)C,17.12048,77.68654,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/6292681.png,https://pubchem.ncbi.nlm.nih.gov/compound/6292681
19,138413325,CCOC(=O)CCCN(C1=CC=C(C=C1)C)C(=O)C(C)C,49.29525,-61.932922,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138413325.png,https://pubchem.ncbi.nlm.nih.gov/compound/138413325
20,138413395,CCOC(=O)CCCN(CC=C(C)C)C1=CC=C(C=C1)C,49.97705,-61.81514,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138413395.png,https://pubchem.ncbi.nlm.nih.gov/compound/138413395
21,107480549,CC(C1=CC=CC=C1N(CCO)CC(F)F)N,-51.943726,-31.478254,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/107480549.png,https://pubchem.ncbi.nlm.nih.gov/compound/107480549
22,138413569,CCCCCCCCC(C(=O)O)N(C1=CC=C(C=C1)C)C(C(F)(F)F)(C(F)(F)F)F,-15.435072,-56.538616,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138413569.png,https://pubchem.ncbi.nlm.nih.gov/compound/138413569
23,25691696,CC1=CC=C(C=C1)CN(C)CC(=O)NC2=CC=C(C=C2)C(F)(F)F,21.914633,-39.314526,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/25691696.png,https://pubchem.ncbi.nlm.nih.gov/compound/25691696
24,64489075,CC1=CC=C(S1)CC(C)NC2=CC=CC=C2C(F)(F)F,-43.384052,-23.798946,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/64489075.png,https://pubchem.ncbi.nlm.nih.gov/compound/64489075
25,138413837,CCCCCCC(C(=O)O)N(C1=CC=C(C=C1)C)C(C(F)(F)F)(C(F)(F)F)F,-15.435287,-56.538418,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138413837.png,https://pubchem.ncbi.nlm.nih.gov/compound/138413837
26,165676837,CN(C)C1=CC=CC=C1C2(CCC(CC2)(F)F)C(=O)O,36.71538,-5.650617,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/165676837.png,https://pubchem.ncbi.nlm.nih.gov/compound/165676837
27,3671904,CC1=CC=C(C=C1)NC(=NC2=CC=C(C=C2)C)C(C)CN(C3=CC=C(C=C3)C)C(=O)C4=CC=CC=C4,6.4134593,-59.467075,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/3671904.png,https://pubchem.ncbi.nlm.nih.gov/compound/3671904
28,138413962,CCOC(=O)CCCN(C1=CC=CC=C1)C2=CC=C(C=C2)C,49.90997,-61.85225,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138413962.png,https://pubchem.ncbi.nlm.nih.gov/compound/138413962
29,138414087,CCOC(=O)CCCN(CC(=O)C)C1=CC=C(C=C1)C,49.937958,-61.952267,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414087.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414087
30,165677083,CC(C)(C)OC(=O)NC1=C(C=CC(=C1)C(F)(F)F)C2(CCCC2)N,81.33502,-23.941778,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/165677083.png,https://pubchem.ncbi.nlm.nih.gov/compound/165677083
31,138414162,CCCCCCCCCCCCCCCCN(CC(OC)OC)C1=CC=C(C=C1)C,-28.234324,-41.215343,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/138414162.png,https://pubchem.ncbi.nlm.nih.gov/compound/138414162
32,108529822,CC1=CC(=C(C=C1)NC(=O)C(=O)NC2=CC=C(C=C2)C(C)(C)C)O,11.81417,-23.893427,https://cheminfohosting.s3.us-west-2.amazonaws.com/molecules/trimethyl_indolenine/108529822.png,https://pubchem.ncbi.nlm.nih.gov/compound/108529822
