,CID,smiles
56,158073431,C.C=CC(=O)OCC(COCC(COCC(COC(=O)C=C)O)O)O
57,140247685,CC(OC(=O)C=C)PCl
58,140247684,CC(OC(=O)C=C)PCl.PCl.PCl
59,141296285,C=CC(=O)OCCCCCCCCCCC#P=O
60,141296290,CN(CCOC(=O)C=C)C(=O)N
61,123732643,CC(=C)C[SiH2]CC[Si](C)(C)O[Si](C)(C)COC(=O)C=C
62,88081067,C=CC(=O)OCCNC#N
63,87556788,CCCCCCOCCOCCOCC.C=CC(=O)O
64,90702517,CC(=CC(=O)O)C(=O)OCCOC(=O)C=C
65,141296326,C=CC(=O)OC(CC(OC1=CC=CC=C1)(Br)Br)Br
66,141296327,C=CC(=O)OC(C(C(OC1=CC=CC=C1)(Br)Br)Br)(Br)Br
67,141296331,C=CC(=O)OCCC(OC1=CC=CC=C1)Br
68,141296334,C=CC(=O)OCOC1=C(C(=C(C=C1)Br)Br)Br
69,141296335,C=CC(=O)OCOC1=C(C(=C(C(=C1Br)Br)Br)Br)Br
70,156762835,CC(C)CCCCCCC(C=C)OC(=O)C=C
71,157549291,C=CC(=O)OCCC#N.C=CC(=O)OCC1CO1
72,91751147,CC(COCC(C)(C)COCC(C)OC(=O)C=C)OCC(C)OC(=O)C=C
73,88605420,CCCCOC(=O)C=C.CC(C)CCCCCOC(=O)C=C
74,91751151,CC(COCC(COCC(C)OC(=O)C=C)O)OCC(C)OCC(C)OC(=O)C=C
75,91751152,CC(COCC(COCC(C)OCC(C)OC(=O)C=C)OC(=O)C=C)O
76,91751153,CC(COCC(COCC(C)OC(=O)C=C)O)OCC(C)OC(=O)C=C
77,91751154,CC(COC(C)COC(C)COCC(COC(=O)C=C)OC(=O)C=C)O
78,91751155,CCC(COCCOCCOC(=O)C=C)(COC(=O)C=C)COC(=O)C=C
79,91751156,CCC(COCCOC(=O)C=C)(COCCOC(=O)C=C)COC(=O)C=C
80,91751157,CC(COCC(COCC(C)OC(=O)C=C)OC(=O)C=C)O
